;1;2;3;4;5;6;7;8;9;10;11;12;13
1: WLC;1.000;0.417***;0.452***;0.221*  ;0.519***;0.409***;0.425***;0.343***;0.126   ;0.336***;0.276** ;0.184*  ;0.333***
2: WLA;;1.000;0.459***;0.332***;0.223*  ;0.250** ;0.442***;0.348***;0.366***;0.255** ;0.201*  ;0.295***;0.207*  
3: SRL scores;;;1.000;0.715***;0.593***;0.634***;0.597***;0.753***;0.666***;0.697***;0.558***;0.671***;0.380***
4: SRL-F1;;;;1.000;0.214*  ;0.348***;0.386***;0.436***;0.547***;0.340***;0.192*  ;0.421***;0.157   
5: SRL-F2;;;;;1.000;0.646***;0.311***;0.375***;0.253** ;0.393***;0.349***;0.255** ;0.341***
6: SRL-F3;;;;;;1.000;0.246** ;0.432***;0.420***;0.455***;0.221*  ;0.220*  ;0.379***
7: SRL-F4;;;;;;;1.000;0.446***;0.194*  ;0.365***;0.349***;0.435***;0.241** 
8: SRL-P1;;;;;;;;1.000;0.377***;0.539***;0.296***;0.478***;0.279** 
9: SRL-P2;;;;;;;;;1.000;0.357***;0.251** ;0.351***;0.224*  
10: SRL-P3;;;;;;;;;;1.000;0.416***;0.398***;0.288** 
11: SRL-SR1;;;;;;;;;;;1.000;0.553***;0.185*  
12: SRL-SR2;;;;;;;;;;;;1.000;0.181*  
13: SE;;;;;;;;;;;;;1.000
